date,price,warehouse_capacity,truck_capacity
2021-04-18,147.44,75,70
2021-04-19,120.43,56,45
2021-04-20,123.52,63,55
2021-04-21,71.61,74,75
2021-04-22,142.67,63,61
2021-04-23,110.99,46,52
2021-04-24,58.14,59,68
2021-04-25,136.54,56,61
2021-04-26,109.13,70,63
2021-04-27,136.93,70,66
2021-04-28,66.1,69,62
2021-04-29,78.0,63,63
2021-04-30,116.08,63,55
2021-05-01,115.12,72,74
2021-05-02,75.38,56,55
2021-05-03,120.11,69,61
2021-05-04,56.58,75,74
2021-05-05,147.95,68,74
2021-05-06,106.17,61,59
2021-05-07,122.82,59,51
2021-05-08,146.65,65,65
2021-05-09,58.61,53,58
2021-05-10,120.55,57,51
2021-05-11,77.2,58,54
2021-05-12,99.47,57,62
2021-05-13,59.88,49,54
2021-05-14,96.92,68,61
2021-05-15,91.38,50,39
2021-05-16,69.62,77,83
2021-05-17,119.79,53,53
2021-05-18,78.74,59,54
2021-05-19,130.7,49,50
2021-05-20,62.91,53,48
2021-05-21,61.97,35,34
2021-05-22,127.19,63,63
2021-05-23,121.51,63,58
2021-05-24,75.84,63,58
2021-05-25,74.62,47,47
2021-05-26,52.27,54,44
2021-05-27,129.14,46,49
2021-05-28,70.15,49,48
2021-05-29,62.25,60,60
2021-05-30,141.13,47,46
2021-05-31,130.82,17,24
2021-06-01,90.52,59,47
2021-06-02,63.71,57,54
2021-06-03,61.84,33,40
2021-06-04,103.46,48,48
2021-06-05,123.57,49,38
2021-06-06,129.98,40,44
2021-06-07,89.92,43,46
2021-06-08,70.31,28,29
2021-06-09,57.48,42,51
2021-06-10,122.3,48,52
2021-06-11,85.31,41,43
2021-06-12,74.43,51,44
2021-06-13,70.75,47,40
2021-06-14,76.27,47,46
2021-06-15,75.82,53,54
2021-06-16,135.85,52,49
2021-06-17,117.63,49,54
2021-06-18,108.99,39,37
2021-06-19,64.48,42,50
2021-06-20,66.44,19,18
2021-06-21,101.51,21,25
2021-06-22,129.9,21,27
2021-06-23,96.45,36,39
2021-06-24,148.53,40,31
2021-06-25,69.24,34,40
2021-06-26,124.84,27,26
2021-06-27,99.07,42,48
2021-06-28,101.32,28,31
2021-06-29,58.94,24,22
2021-06-30,118.77,16,28
2021-07-01,72.45,45,47
2021-07-02,89.55,29,27
2021-07-03,92.53,21,32
2021-07-04,88.87,25,34
2021-07-05,100.06,16,27
2021-07-06,86.59,25,25
2021-07-07,129.28,22,27
2021-07-08,142.84,43,42
2021-07-09,95.83,10,19
2021-07-10,77.97,16,27
2021-07-11,129.78,23,29
2021-07-12,139.17,5,17
2021-07-13,95.04,30,33
2021-07-14,51.0,20,18
2021-07-15,148.74,26,26
2021-07-16,140.89,5,14
2021-07-17,51.38,11,22
2021-07-18,141.36,10,19
2021-07-19,134.2,14,30
2021-07-20,63.81,12,24
2021-07-21,139.16,34,38
2021-07-22,113.02,13,16
2021-07-23,68.74,14,16
2021-07-24,134.25,19,24
2021-07-25,88.06,-3,17
2021-07-26,130.44,11,22
2021-07-27,92.68,7,17
2021-07-28,135.52,2,9
2021-07-29,128.3,18,31
2021-07-30,62.56,-3,4
2021-07-31,92.52,-9,0
2021-08-01,139.81,6,21
2021-08-02,86.72,4,20
2021-08-03,59.1,10,17
2021-08-04,59.37,12,21
2021-08-05,125.19,18,22
2021-08-06,57.95,2,15
2021-08-07,98.73,-12,-3
2021-08-08,137.99,4,11
2021-08-09,94.49,0,0
2021-08-10,57.38,1,10
2021-08-11,102.75,0,14
2021-08-12,78.1,6,3
2021-08-13,103.03,7,21
2021-08-14,101.2,3,26
2021-08-15,86.64,-21,1
2021-08-16,107.73,-20,-5
2021-08-17,62.68,0,7
2021-08-18,67.38,-9,6
2021-08-19,112.53,-20,5
2021-08-20,111.59,-7,-5
2021-08-21,87.84,-3,0
2021-08-22,132.37,-16,-4
2021-08-23,92.23,-6,6
2021-08-24,117.91,2,12
2021-08-25,138.23,-11,0
2021-08-26,71.44,-16,-5
2021-08-27,112.58,15,32
2021-08-28,76.81,4,12
2021-08-29,106.46,-11,4
2021-08-30,101.78,-31,-17
2021-08-31,105.51,-4,5
2021-09-01,111.47,-12,-2
2021-09-02,96.9,-12,6
2021-09-03,69.29,-15,4
2021-09-04,137.32,-10,2
2021-09-05,131.92,-24,1
2021-09-06,123.46,-24,-7
2021-09-07,85.69,-15,0
2021-09-08,74.4,9,16
2021-09-09,116.56,-1,14
2021-09-10,130.7,-6,9
2021-09-11,141.97,-20,-7
2021-09-12,73.4,-9,3
2021-09-13,96.07,-7,3
2021-09-14,145.67,-13,5
2021-09-15,93.9,-4,10
2021-09-16,60.13,-9,2
2021-09-17,118.11,-18,-2
2021-09-18,63.59,-31,-21
2021-09-19,71.07,-5,14
2021-09-20,101.85,0,12
2021-09-21,136.82,-13,5
2021-09-22,103.82,-6,16
2021-09-23,137.42,-19,-8
2021-09-24,90.61,-12,0
2021-09-25,118.39,-12,6
2021-09-26,66.03,-27,-11
2021-09-27,76.69,-8,9
2021-09-28,73.44,0,3
2021-09-29,105.5,-17,-5
2021-09-30,75.08,-13,1
2021-10-01,144.46,-15,-9
2021-10-02,66.44,5,1
2021-10-03,113.86,-34,-11
2021-10-04,51.17,0,5
2021-10-05,114.41,0,14
2021-10-06,136.63,-11,15
2021-10-07,118.36,-3,12
2021-10-08,136.09,-22,-10
2021-10-09,77.94,7,12
2021-10-10,138.55,-12,-1
2021-10-11,80.8,-18,-2
2021-10-12,76.24,-17,8
2021-10-13,90.15,-1,22
2021-10-14,143.59,-20,0
2021-10-15,86.79,-13,2
2021-10-16,82.98,2,17
2021-10-17,70.66,-8,0
2021-10-18,86.77,-7,0
2021-10-19,131.72,-5,1
2021-10-20,89.8,-1,7
2021-10-21,107.38,-2,1
2021-10-22,147.09,3,13
2021-10-23,121.39,-15,2
2021-10-24,80.18,3,16
2021-10-25,116.0,-1,6
2021-10-26,109.39,-1,5
2021-10-27,66.01,-2,3
2021-10-28,125.0,-6,-7
2021-10-29,61.28,11,19
2021-10-30,141.78,-6,4
2021-10-31,146.46,6,13
2021-11-01,91.08,3,11
2021-11-02,99.47,1,10
2021-11-03,80.37,0,8
2021-11-04,117.5,16,26
2021-11-05,118.1,-15,-8
2021-11-06,99.64,1,3
2021-11-07,123.15,13,26
2021-11-08,113.91,-3,5
2021-11-09,64.83,0,13
2021-11-10,69.21,-12,5
2021-11-11,87.64,16,17
2021-11-12,57.29,18,29
2021-11-13,127.69,18,12
2021-11-14,147.67,22,26
2021-11-15,129.71,2,16
2021-11-16,85.17,15,27
2021-11-17,120.25,0,9
2021-11-18,98.36,5,21
2021-11-19,133.02,23,26
2021-11-20,73.43,22,32
2021-11-21,60.19,2,11
2021-11-22,115.68,19,17
2021-11-23,79.34,13,25
2021-11-24,68.14,14,28
2021-11-25,116.29,12,14
2021-11-26,113.43,35,35
2021-11-27,76.06,9,20
2021-11-28,85.18,10,20
2021-11-29,69.17,16,24
2021-11-30,93.4,15,25
2021-12-01,135.64,5,19
2021-12-02,57.3,32,30
2021-12-03,100.89,15,23
2021-12-04,67.7,20,24
2021-12-05,66.3,30,36
2021-12-06,55.12,19,34
2021-12-07,140.31,17,18
2021-12-08,107.42,22,31
2021-12-09,131.38,46,47
2021-12-10,130.16,42,45
2021-12-11,88.76,29,35
2021-12-12,94.19,35,39
2021-12-13,125.08,46,47
2021-12-14,63.78,34,39
2021-12-15,66.53,21,36
2021-12-16,136.99,49,50
2021-12-17,92.55,39,40
2021-12-18,83.87,24,36
2021-12-19,77.17,31,33
2021-12-20,95.2,45,46
2021-12-21,102.37,38,41
2021-12-22,138.09,45,42
2021-12-23,72.58,40,29
2021-12-24,74.76,49,41
2021-12-25,59.47,40,40
2021-12-26,94.92,54,59
2021-12-27,89.0,26,35
2021-12-28,100.34,26,31
2021-12-29,54.79,53,48
2021-12-30,73.77,46,50
2021-12-31,70.68,40,50
2022-01-01,97.18,54,58
2022-01-02,53.73,45,43
2022-01-03,60.05,45,48
2022-01-04,133.44,58,64
2022-01-05,90.22,48,49
2022-01-06,55.92,48,43
2022-01-07,88.83,52,52
2022-01-08,92.77,45,41
2022-01-09,56.92,58,68
2022-01-10,145.24,51,56
2022-01-11,125.47,54,56
2022-01-12,75.56,63,60
2022-01-13,55.76,56,52
2022-01-14,89.96,70,64
2022-01-15,109.04,66,65
2022-01-16,127.14,46,54
2022-01-17,69.65,51,50
2022-01-18,149.55,74,66
2022-01-19,99.89,61,55
2022-01-20,61.4,56,43
2022-01-21,127.82,73,68
2022-01-22,119.85,63,61
2022-01-23,140.5,73,69
2022-01-24,79.7,61,53
2022-01-25,90.73,65,65
2022-01-26,82.66,61,59
2022-01-27,135.61,65,61
2022-01-28,134.04,71,67
2022-01-29,130.65,42,44
2022-01-30,124.21,100,88
2022-01-31,118.71,87,76
2022-02-01,62.12,58,53
2022-02-02,142.99,63,59
2022-02-03,131.11,80,71
2022-02-04,98.94,62,60
2022-02-05,121.37,84,71
2022-02-06,94.86,70,61
2022-02-07,70.54,74,68
2022-02-08,92.3,72,70
2022-02-09,56.03,74,61
2022-02-10,67.3,86,90
2022-02-11,100.89,91,81
2022-02-12,108.38,85,80
2022-02-13,119.62,89,77
2022-02-14,99.22,87,80
2022-02-15,124.9,84,80
2022-02-16,81.61,84,82
2022-02-17,111.93,101,93
2022-02-18,134.04,86,76
2022-02-19,62.76,94,91
2022-02-20,79.34,72,69
2022-02-21,149.89,84,80
2022-02-22,68.41,104,90
2022-02-23,72.68,98,82
2022-02-24,75.44,89,81
2022-02-25,73.41,71,62
2022-02-26,112.05,80,68
2022-02-27,124.54,92,82
2022-02-28,133.84,91,76
2022-03-01,142.18,97,86
2022-03-02,92.6,98,86
2022-03-03,71.54,92,89
2022-03-04,137.4,99,94
2022-03-05,139.76,99,86
2022-03-06,84.18,95,78
2022-03-07,52.19,88,89
2022-03-08,143.91,94,90
2022-03-09,68.22,95,87
2022-03-10,138.28,96,94
2022-03-11,94.25,108,99
2022-03-12,77.82,108,106
2022-03-13,146.77,106,92
2022-03-14,103.93,119,109
2022-03-15,77.69,122,108
2022-03-16,136.93,100,92
2022-03-17,64.99,103,79
2022-03-18,63.72,99,94
2022-03-19,128.61,101,95
2022-03-20,102.59,92,82
2022-03-21,57.35,117,102
2022-03-22,118.65,97,89
2022-03-23,123.44,98,87
2022-03-24,96.7,111,104
2022-03-25,111.62,111,98
2022-03-26,50.46,113,101
2022-03-27,71.79,119,105
2022-03-28,126.74,107,91
2022-03-29,117.62,110,95
2022-03-30,97.27,114,103
2022-03-31,110.98,117,103
2022-04-01,74.76,130,115
2022-04-02,122.15,109,105
2022-04-03,138.88,107,88
2022-04-04,112.6,90,84
2022-04-05,135.07,77,70
2022-04-06,130.88,108,100
2022-04-07,122.09,103,95
2022-04-08,106.22,116,99
2022-04-09,98.83,108,100
2022-04-10,122.4,98,87
2022-04-11,105.75,107,89
2022-04-12,83.03,124,103
2022-04-13,138.19,84,79
2022-04-14,69.21,101,87
2022-04-15,139.59,98,79
2022-04-16,81.44,105,89
2022-04-17,114.89,121,96
2022-04-18,145.71,90,85
2022-04-19,132.93,103,88
2022-04-20,81.17,111,109
2022-04-21,95.12,110,94
2022-04-22,85.49,104,87
2022-04-23,123.91,102,91
2022-04-24,59.66,93,94
2022-04-25,76.17,102,89
2022-04-26,118.0,68,68
2022-04-27,113.0,98,89
2022-04-28,60.69,91,79
2022-04-29,101.81,110,96
2022-04-30,71.42,93,90
2022-05-01,124.04,98,79
2022-05-02,79.17,102,94
2022-05-03,118.62,100,81
2022-05-04,64.61,107,97
2022-05-05,99.86,114,89
2022-05-06,77.88,111,109
2022-05-07,131.24,97,81
2022-05-08,96.57,102,89
2022-05-09,117.29,88,77
2022-05-10,140.23,107,100
2022-05-11,117.32,101,85
2022-05-12,128.28,112,95
2022-05-13,50.49,97,96
2022-05-14,122.55,91,84
2022-05-15,107.36,103,97
2022-05-16,71.29,79,75
2022-05-17,141.7,97,83
2022-05-18,82.76,94,78
2022-05-19,99.47,93,90
2022-05-20,89.83,92,85
2022-05-21,149.52,101,95
2022-05-22,104.26,87,76
2022-05-23,131.64,111,98
2022-05-24,104.33,109,105
2022-05-25,115.78,89,82
2022-05-26,66.8,87,81
2022-05-27,123.94,97,87
2022-05-28,105.9,100,92
2022-05-29,120.79,72,68
2022-05-30,53.89,92,77
2022-05-31,147.98,75,71
2022-06-01,102.65,80,74
2022-06-02,51.85,85,76
2022-06-03,55.11,80,63
2022-06-04,144.98,91,83
2022-06-05,95.63,66,59
2022-06-06,106.34,83,69
2022-06-07,83.83,86,82
2022-06-08,105.42,91,74
2022-06-09,108.36,66,72
2022-06-10,100.93,95,81
2022-06-11,94.06,81,68
2022-06-12,77.71,87,73
2022-06-13,144.01,77,74
2022-06-14,51.24,91,95
2022-06-15,68.77,85,77
2022-06-16,84.54,93,89
2022-06-17,95.25,65,61
2022-06-18,117.29,56,46
2022-06-19,112.54,67,63
2022-06-20,63.99,80,69
2022-06-21,85.53,80,61
2022-06-22,56.81,86,79
2022-06-23,79.21,55,52
2022-06-24,91.7,57,64
2022-06-25,59.49,64,60
2022-06-26,115.43,69,63
2022-06-27,108.89,76,67
2022-06-28,67.04,49,52
2022-06-29,126.13,63,57
2022-06-30,113.32,81,82
2022-07-01,148.49,50,52
2022-07-02,104.03,84,82
2022-07-03,63.56,55,47
2022-07-04,76.72,49,50
2022-07-05,100.84,51,55
2022-07-06,98.16,56,49
2022-07-07,102.92,66,57
2022-07-08,149.48,64,59
2022-07-09,141.33,66,57
2022-07-10,90.76,62,57
2022-07-11,61.85,41,33
2022-07-12,59.13,43,46
2022-07-13,56.27,56,63
2022-07-14,121.93,58,58
2022-07-15,89.87,61,64
2022-07-16,51.76,60,52
2022-07-17,117.21,47,38
2022-07-18,126.03,43,50
2022-07-19,54.18,33,36
2022-07-20,69.11,60,64
2022-07-21,115.05,29,37
2022-07-22,114.72,67,67
2022-07-23,135.24,51,51
2022-07-24,74.05,59,57
2022-07-25,123.75,50,51
2022-07-26,53.33,55,62
2022-07-27,115.4,47,38
2022-07-28,107.43,51,49
2022-07-29,95.99,52,52
2022-07-30,109.66,58,53
2022-07-31,141.84,39,43
2022-08-01,137.16,37,31
2022-08-02,142.97,46,39
2022-08-03,71.16,45,52
2022-08-04,85.35,31,34
2022-08-05,114.74,48,49
2022-08-06,108.06,59,56
2022-08-07,101.74,30,35
2022-08-08,55.77,35,37
2022-08-09,86.33,43,50
2022-08-10,122.7,36,33
2022-08-11,70.13,10,13
2022-08-12,58.63,30,40
2022-08-13,125.36,30,45
2022-08-14,72.61,37,41
2022-08-15,100.53,35,37
2022-08-16,87.77,37,43
2022-08-17,128.45,39,45
2022-08-18,104.21,43,43
2022-08-19,90.79,32,41
2022-08-20,89.63,25,44
2022-08-21,132.27,22,27
2022-08-22,121.48,48,48
2022-08-23,141.48,27,27
2022-08-24,149.57,24,28
2022-08-25,73.2,21,27
2022-08-26,70.22,19,26
2022-08-27,100.05,37,45
2022-08-28,118.22,36,40
2022-08-29,125.61,25,23
2022-08-30,113.5,43,49
2022-08-31,137.6,28,33
2022-09-01,61.89,15,18
2022-09-02,137.23,18,32
2022-09-03,123.36,20,24
2022-09-04,62.49,22,25
2022-09-05,92.63,29,32
2022-09-06,76.08,19,28
2022-09-07,102.13,38,35
2022-09-08,55.11,23,30
2022-09-09,93.57,34,33
2022-09-10,78.42,38,43
2022-09-11,114.75,17,29
2022-09-12,70.44,20,33
2022-09-13,85.03,20,19
2022-09-14,65.68,19,32
2022-09-15,111.13,40,42
2022-09-16,142.88,11,7
2022-09-17,80.7,36,36
2022-09-18,85.82,20,24
2022-09-19,68.09,31,24
2022-09-20,52.8,35,32
2022-09-21,97.42,21,31
2022-09-22,81.91,22,30
2022-09-23,141.66,35,36
2022-09-24,123.95,20,26
2022-09-25,87.93,50,54
2022-09-26,84.43,19,16
2022-09-27,147.7,34,36
2022-09-28,109.97,12,26
2022-09-29,73.15,19,23
2022-09-30,134.24,24,25
2022-10-01,99.43,4,18
2022-10-02,110.47,17,28
2022-10-03,59.59,28,32
2022-10-04,93.54,24,23
2022-10-05,81.93,16,27
2022-10-06,77.12,47,57
2022-10-07,84.39,25,30
2022-10-08,94.09,13,17
2022-10-09,102.62,26,20
2022-10-10,112.07,14,21
2022-10-11,110.7,32,29
2022-10-12,122.98,26,28
2022-10-13,119.43,27,26
2022-10-14,105.88,11,25
2022-10-15,110.24,35,37
2022-10-16,139.97,31,40
2022-10-17,52.92,29,36
2022-10-18,86.25,34,37
2022-10-19,114.58,16,29
2022-10-20,110.97,29,35
2022-10-21,115.75,57,61
2022-10-22,138.82,6,7
2022-10-23,147.12,16,18
2022-10-24,110.47,28,35
2022-10-25,132.29,18,29
2022-10-26,84.2,22,30
2022-10-27,140.22,42,52
2022-10-28,71.55,44,46
2022-10-29,80.02,31,31
2022-10-30,67.66,43,48
2022-10-31,81.8,30,29
2022-11-01,147.87,37,46
2022-11-02,94.05,32,36
2022-11-03,62.44,36,39
2022-11-04,147.24,35,37
2022-11-05,56.05,40,38
2022-11-06,147.4,34,36
2022-11-07,62.6,38,40
2022-11-08,131.84,42,43
2022-11-09,136.58,35,46
2022-11-10,143.14,39,41
2022-11-11,135.83,47,48
2022-11-12,133.77,50,54
2022-11-13,75.55,36,44
2022-11-14,88.47,39,39
2022-11-15,97.29,46,47
2022-11-16,76.86,40,53
2022-11-17,96.47,43,49
2022-11-18,147.44,55,46
2022-11-19,140.35,58,43
2022-11-20,99.21,57,53
2022-11-21,67.98,57,51
2022-11-22,61.42,43,41
2022-11-23,86.45,57,58
2022-11-24,53.48,56,43
2022-11-25,120.0,54,42
2022-11-26,140.41,55,57
2022-11-27,79.1,67,64
2022-11-28,90.02,62,59
2022-11-29,135.12,57,57
2022-11-30,86.1,44,43
2022-12-01,62.46,56,52
2022-12-02,131.05,55,54
2022-12-03,124.45,65,55
2022-12-04,149.9,66,67
2022-12-05,89.49,68,59
2022-12-06,119.98,57,55
2022-12-07,124.79,79,73
2022-12-08,126.16,57,53
2022-12-09,122.37,52,58
2022-12-10,107.48,72,74
2022-12-11,87.35,61,52
2022-12-12,119.15,66,69
2022-12-13,98.94,73,69
2022-12-14,66.82,71,65
2022-12-15,106.48,57,51
2022-12-16,87.92,74,65
2022-12-17,115.06,77,73
2022-12-18,52.73,41,39
2022-12-19,130.74,64,56
2022-12-20,145.32,78,69
2022-12-21,134.67,79,60
2022-12-22,65.8,72,66
2022-12-23,115.7,68,59
2022-12-24,107.05,81,85
2022-12-25,99.23,74,70
2022-12-26,91.32,66,72
2022-12-27,93.81,78,68
2022-12-28,134.96,81,76
2022-12-29,130.16,85,80
2022-12-30,62.17,73,74
2022-12-31,64.14,74,69
2023-01-01,119.72,81,77
2023-01-02,82.18,84,73
2023-01-03,97.55,85,67
2023-01-04,104.06,104,99
2023-01-05,99.39,92,85
2023-01-06,62.98,108,96
2023-01-07,77.75,76,69
2023-01-08,98.04,91,76
2023-01-09,116.31,69,64
2023-01-10,73.74,111,99
2023-01-11,73.6,100,91
2023-01-12,128.92,119,106
2023-01-13,81.7,87,85
2023-01-14,87.27,80,76
2023-01-15,133.75,101,86
2023-01-16,80.61,100,100
2023-01-17,140.32,103,90
2023-01-18,93.03,102,94
2023-01-19,131.43,88,93
2023-01-20,130.39,116,111
2023-01-21,136.15,91,76
2023-01-22,79.1,99,91
2023-01-23,141.71,104,95
2023-01-24,73.32,107,97
2023-01-25,120.15,103,89
2023-01-26,101.58,91,78
2023-01-27,120.42,104,97
2023-01-28,129.18,108,94
2023-01-29,61.89,123,118
2023-01-30,65.08,115,101
2023-01-31,100.4,108,89
2023-02-01,131.34,135,115
2023-02-02,137.34,111,96
2023-02-03,110.77,114,100
2023-02-04,72.53,103,91
2023-02-05,102.09,131,119
2023-02-06,127.18,93,74
2023-02-07,144.85,127,113
2023-02-08,67.66,126,105
2023-02-09,102.89,126,111
2023-02-10,142.92,121,104
2023-02-11,73.14,114,105
2023-02-12,140.38,126,111
2023-02-13,103.78,127,115
2023-02-14,67.17,119,106
2023-02-15,69.19,116,106
2023-02-16,128.52,115,110
2023-02-17,76.27,131,122
2023-02-18,132.83,114,100
2023-02-19,141.17,138,129
2023-02-20,132.64,131,122
2023-02-21,67.49,122,111
2023-02-22,124.25,136,115
2023-02-23,96.62,130,118
2023-02-24,63.23,134,121
2023-02-25,87.08,134,122
2023-02-26,106.91,136,117
2023-02-27,65.44,137,115
2023-02-28,133.45,136,121
2023-03-01,112.91,127,111
2023-03-02,127.21,142,124
2023-03-03,91.36,122,107
2023-03-04,77.02,153,141
2023-03-05,52.39,135,119
2023-03-06,66.43,142,127
2023-03-07,62.8,130,105
2023-03-08,107.19,152,134
2023-03-09,53.85,137,118
2023-03-10,54.56,124,112
2023-03-11,64.64,149,126
2023-03-12,68.91,125,114
2023-03-13,66.02,151,133
2023-03-14,132.74,150,136
2023-03-15,73.88,128,106
2023-03-16,81.21,140,117
2023-03-17,111.35,137,123
2023-03-18,108.46,127,120
2023-03-19,88.78,137,116
2023-03-20,134.89,134,116
2023-03-21,96.22,121,118
2023-03-22,79.97,148,130
2023-03-23,136.48,137,112
2023-03-24,123.3,139,125
2023-03-25,139.47,118,104
2023-03-26,100.53,145,123
2023-03-27,70.54,148,125
2023-03-28,93.74,147,129
2023-03-29,95.2,140,123
2023-03-30,116.62,144,127
2023-03-31,132.66,135,112
2023-04-01,111.11,126,124
2023-04-02,125.92,134,120
2023-04-03,97.25,151,126
2023-04-04,130.58,134,116
2023-04-05,64.34,147,131
2023-04-06,136.64,150,122
2023-04-07,107.97,134,117
2023-04-08,144.75,150,122
2023-04-09,96.54,158,122
2023-04-10,67.27,140,123
2023-04-11,123.58,143,125
2023-04-12,147.02,149,126
2023-04-13,53.27,144,127
2023-04-14,67.3,145,137
2023-04-15,140.15,153,130
2023-04-16,74.81,133,115
2023-04-17,104.23,141,128
2023-04-18,95.2,144,125
2023-04-19,146.7,159,133
2023-04-20,115.22,150,132
2023-04-21,81.38,129,120
2023-04-22,135.46,142,131
2023-04-23,85.52,143,116
2023-04-24,84.46,149,125
2023-04-25,145.08,138,119
2023-04-26,97.12,145,126
2023-04-27,141.42,147,132
2023-04-28,53.12,146,122
2023-04-29,81.37,138,125
2023-04-30,58.44,153,126
2023-05-01,149.59,148,125
2023-05-02,72.79,137,126
2023-05-03,136.0,119,101
2023-05-04,52.0,136,110
2023-05-05,130.08,133,118
2023-05-06,145.49,162,135
2023-05-07,107.61,132,109
2023-05-08,71.41,132,112
2023-05-09,81.79,129,114
2023-05-10,138.96,157,129
2023-05-11,75.46,127,115
2023-05-12,81.68,132,119
2023-05-13,85.39,131,117
2023-05-14,101.83,133,117
2023-05-15,58.53,133,114
2023-05-16,73.49,128,111
2023-05-17,109.61,143,128
2023-05-18,89.83,113,111
2023-05-19,64.58,144,126
2023-05-20,82.26,124,109
2023-05-21,60.84,129,121
2023-05-22,140.91,112,100
2023-05-23,137.61,132,116
2023-05-24,69.48,131,113
2023-05-25,142.47,126,104
2023-05-26,76.92,114,103
2023-05-27,83.24,133,103
2023-05-28,121.35,114,99
2023-05-29,67.3,116,93
2023-05-30,102.65,125,101
2023-05-31,136.19,111,96
2023-06-01,124.45,103,88
2023-06-02,101.79,99,87
2023-06-03,123.12,119,113
2023-06-04,125.99,120,110
2023-06-05,114.74,125,115
2023-06-06,65.74,120,116
2023-06-07,104.07,103,85
2023-06-08,84.44,108,100
2023-06-09,123.98,90,84
2023-06-10,54.45,115,107
2023-06-11,90.74,113,108
2023-06-12,83.24,120,110
2023-06-13,106.38,116,116
2023-06-14,85.81,122,99
2023-06-15,113.05,114,104
2023-06-16,57.35,94,87
2023-06-17,88.17,103,91
2023-06-18,115.87,111,100
2023-06-19,91.1,92,83
2023-06-20,133.51,113,103
2023-06-21,125.88,91,80
2023-06-22,149.79,128,121
2023-06-23,57.64,112,100
2023-06-24,144.76,120,100
2023-06-25,134.8,102,89
2023-06-26,67.13,100,90
2023-06-27,128.09,119,103
2023-06-28,130.03,105,90
2023-06-29,128.86,99,97
2023-06-30,70.41,109,91
2023-07-01,58.26,111,108
2023-07-02,140.09,98,97
2023-07-03,98.92,95,88
2023-07-04,66.49,104,93
2023-07-05,104.01,107,92
2023-07-06,144.1,103,90
2023-07-07,69.36,99,84
2023-07-08,141.61,108,95
2023-07-09,106.4,98,94
2023-07-10,64.23,92,82
2023-07-11,114.62,84,71
2023-07-12,138.46,99,88
2023-07-13,108.46,95,91
